id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
S_W_535,1539.00,S2TL_3,5.10,10.00,0.00,1891.00,TL2W_0,750.00,11.63,352.00,1524.57,210.00,1,0.00,223.48,0,tripinfo_S_W_535,standard_car,0.86,
S_W_537,1541.00,S2TL_2,5.10,10.00,1.00,1894.00,TL2W_0,750.00,11.61,353.00,1524.57,209.00,1,0.00,222.74,0,tripinfo_S_W_537,standard_car,0.85,
N_E_659,1803.00,N2TL_0,5.10,10.00,0.00,1940.00,TL2E_0,750.00,11.43,137.00,1524.57,0.00,0,0.00,3.16,0,tripinfo_N_E_659,standard_car,0.83,
N_E_673,1836.00,N2TL_1,5.10,10.00,0.00,1947.00,TL2E_0,750.00,13.81,111.00,1524.57,0.00,0,0.00,2.83,0,tripinfo_N_E_673,standard_car,1.02,
E_W_430,1307.00,E2TL_0,5.10,10.00,0.00,2055.00,TL2W_1,750.00,17.95,748.00,1528.50,648.00,1,0.00,664.63,0,tripinfo_E_W_430,standard_car,1.32,
E_W_416,1276.00,E2TL_1,5.10,10.00,0.00,2060.00,TL2W_0,750.00,15.41,784.00,1528.50,672.00,1,0.00,685.88,0,tripinfo_E_W_416,standard_car,1.13,
W_E_404,1254.00,W2TL_0,5.10,10.00,0.00,2061.00,TL2E_0,750.00,15.19,807.00,1528.50,693.00,1,0.00,706.11,0,tripinfo_W_E_404,standard_car,1.10,
W_E_438,1323.00,W2TL_3,5.10,10.00,0.00,2061.00,TL2E_1,750.00,15.79,738.00,1528.50,627.00,1,0.00,643.07,0,tripinfo_W_E_438,standard_car,1.17,
E_N_402,1248.00,E2TL_3,5.10,10.00,0.00,2062.00,TL2N_0,750.00,13.83,814.00,1503.93,694.00,1,0.00,707.13,0,tripinfo_E_N_402,standard_car,1.02,
W_E_447,1338.00,W2TL_3,5.10,10.00,0.00,2062.00,TL2E_2,750.00,16.43,724.00,1528.50,608.00,1,0.00,631.47,0,tripinfo_W_E_447,standard_car,1.20,
W_S_437,1321.00,W2TL_2,5.10,10.00,0.00,2065.00,TL2S_0,750.00,13.95,744.00,1503.93,626.00,1,0.00,638.50,0,tripinfo_W_S_437,standard_car,1.04,
W_S_463,1381.00,W2TL_0,5.10,10.00,0.00,2065.00,TL2S_1,750.00,15.61,684.00,1503.93,575.00,1,0.00,589.36,0,tripinfo_W_S_463,standard_car,1.16,
W_E_494,1442.00,W2TL_3,5.10,10.00,0.00,2065.00,TL2E_3,750.00,15.87,623.00,1528.50,514.00,1,0.00,529.59,0,tripinfo_W_E_494,standard_car,1.18,
W_E_400,1245.00,W2TL_0,5.10,10.00,0.00,2066.00,TL2E_0,750.00,13.28,821.00,1528.50,695.00,1,0.00,708.38,0,tripinfo_W_E_400,standard_car,0.98,
E_W_419,1286.00,E2TL_1,5.10,10.00,0.00,2066.00,TL2W_0,750.00,14.33,780.00,1528.50,658.00,1,0.00,672.66,0,tripinfo_E_W_419,standard_car,1.03,
W_E_460,1376.00,W2TL_0,5.10,10.00,0.00,2066.00,TL2E_2,750.00,15.59,690.00,1528.50,576.00,1,0.00,591.94,0,tripinfo_W_E_460,standard_car,1.12,
E_W_406,1255.00,E2TL_1,5.10,10.00,0.00,2067.00,TL2W_0,750.00,12.89,812.00,1528.50,684.00,1,0.00,697.23,0,tripinfo_E_W_406,standard_car,0.96,
E_W_457,1369.00,E2TL_2,5.10,10.00,0.00,2067.00,TL2W_2,750.00,15.02,698.00,1528.50,582.00,1,0.00,598.15,0,tripinfo_E_W_457,standard_car,1.11,
W_E_408,1261.00,W2TL_1,5.10,10.00,0.00,2068.00,TL2E_0,750.00,14.07,807.00,1528.50,684.00,1,0.00,698.08,0,tripinfo_W_E_408,standard_car,1.01,
W_E_428,1302.00,W2TL_2,5.10,10.00,0.00,2068.00,TL2E_1,750.00,12.95,766.00,1528.50,637.00,1,0.00,651.18,0,tripinfo_W_E_428,standard_car,0.97,
E_W_411,1269.00,E2TL_0,5.10,10.00,0.00,2069.00,TL2W_0,750.00,13.20,800.00,1528.50,674.00,1,0.00,686.93,0,tripinfo_E_W_411,standard_car,0.98,
E_W_423,1295.00,E2TL_2,5.10,10.00,0.00,2069.00,TL2W_1,750.00,13.62,774.00,1528.50,646.00,1,0.00,664.10,0,tripinfo_E_W_423,standard_car,1.01,
E_W_421,1294.00,E2TL_1,5.10,10.00,0.00,2070.00,TL2W_1,750.00,14.43,776.00,1528.50,653.00,1,0.00,671.42,0,tripinfo_E_W_421,standard_car,1.05,
E_W_468,1388.00,E2TL_0,5.10,10.00,0.00,2070.00,TL2W_2,750.00,14.31,682.00,1528.50,563.00,1,0.00,577.70,0,tripinfo_E_W_468,standard_car,1.06,
E_N_422,1295.00,E2TL_0,5.10,10.00,1.00,2071.00,TL2N_0,750.00,13.14,776.00,1503.93,649.00,1,0.00,663.50,0,tripinfo_E_N_422,standard_car,0.97,
W_E_480,1413.00,W2TL_1,5.10,10.00,0.00,2071.00,TL2E_1,750.00,13.90,658.00,1528.50,534.00,1,0.00,550.64,0,tripinfo_W_E_480,standard_car,1.03,
W_E_507,1474.00,W2TL_2,5.10,10.00,0.00,2071.00,TL2E_2,750.00,14.62,597.00,1528.50,479.00,1,0.00,494.96,0,tripinfo_W_E_507,standard_car,1.09,
E_N_424,1299.00,E2TL_1,5.10,10.00,0.00,2072.00,TL2N_1,750.00,13.53,773.00,1503.93,649.00,1,0.00,664.08,0,tripinfo_E_N_424,standard_car,1.01,
W_E_444,1334.00,W2TL_3,5.10,10.00,0.00,2072.00,TL2E_0,750.00,12.85,738.00,1528.50,607.00,1,0.00,622.41,0,tripinfo_W_E_444,standard_car,0.96,
E_W_462,1381.00,E2TL_3,5.10,10.00,0.00,2072.00,TL2W_0,750.00,13.84,691.00,1528.50,568.00,1,0.00,581.43,0,tripinfo_E_W_462,standard_car,1.01,
E_W_470,1393.00,E2TL_3,5.10,10.00,0.00,2073.00,TL2W_1,750.00,14.44,680.00,1528.50,559.00,1,0.00,573.93,0,tripinfo_E_W_470,standard_car,1.04,
W_S_485,1430.00,W2TL_1,5.10,10.00,0.00,2073.00,TL2S_0,750.00,14.96,643.00,1503.93,526.00,1,0.00,542.15,0,tripinfo_W_S_485,standard_car,1.08,
W_E_490,1438.00,W2TL_0,5.10,10.00,0.00,2073.00,TL2E_1,750.00,15.01,635.00,1528.50,513.00,1,0.00,532.55,0,tripinfo_W_E_490,standard_car,1.08,
W_S_483,1419.00,W2TL_0,5.10,10.00,0.00,2075.00,TL2S_0,750.00,13.60,656.00,1503.93,532.00,1,0.00,545.87,0,tripinfo_W_S_483,standard_car,0.99,
W_E_484,1429.00,W2TL_0,5.10,10.00,0.00,2075.00,TL2E_0,750.00,13.60,646.00,1528.50,517.00,1,0.00,533.47,0,tripinfo_W_E_484,standard_car,0.98,
E_W_493,1439.00,E2TL_2,5.10,10.00,0.00,2075.00,TL2W_1,750.00,15.28,636.00,1528.50,520.00,1,0.00,538.00,0,tripinfo_E_W_493,standard_car,1.13,
W_S_555,1583.00,W2TL_2,5.10,10.00,0.00,2075.00,TL2S_1,750.00,15.44,492.00,1503.93,378.00,1,0.00,395.33,0,tripinfo_W_S_555,standard_car,1.13,
E_W_499,1458.00,E2TL_0,5.10,10.00,0.00,2076.00,TL2W_1,750.00,15.67,618.00,1528.50,501.00,1,0.00,528.86,0,tripinfo_E_W_499,standard_car,1.24,
E_W_512,1486.00,E2TL_3,5.10,10.00,0.00,2076.00,TL2W_3,750.00,15.09,590.00,1528.50,471.00,1,0.00,488.98,0,tripinfo_E_W_512,standard_car,1.09,
W_E_586,1654.00,W2TL_2,5.10,10.00,0.00,2076.00,TL2E_2,750.00,14.93,422.00,1528.50,304.00,1,0.00,320.66,0,tripinfo_W_E_586,standard_car,1.09,
W_E_469,1390.00,W2TL_2,5.10,10.00,0.00,2077.00,TL2E_0,750.00,11.82,687.00,1528.50,548.00,1,0.00,560.20,0,tripinfo_W_E_469,standard_car,0.87,
W_E_533,1539.00,W2TL_3,5.10,10.00,0.00,2077.00,TL2E_1,750.00,13.67,538.00,1528.50,410.00,1,0.00,426.79,0,tripinfo_W_E_533,standard_car,0.99,
E_W_514,1490.00,E2TL_1,5.10,10.00,0.00,2078.00,TL2W_1,750.00,14.88,588.00,1528.50,470.00,1,0.00,486.03,0,tripinfo_E_W_514,standard_car,1.08,
E_N_441,1327.00,E2TL_0,5.10,10.00,0.00,2079.00,TL2N_0,750.00,12.43,752.00,1503.93,619.00,1,0.00,633.48,0,tripinfo_E_N_441,standard_car,0.93,
E_W_454,1357.00,E2TL_3,5.10,10.00,0.00,2079.00,TL2W_0,750.00,11.57,722.00,1528.50,580.00,1,0.00,594.44,0,tripinfo_E_W_454,standard_car,0.86,
W_E_489,1437.00,W2TL_3,5.10,10.00,0.00,2079.00,TL2E_0,750.00,13.01,642.00,1528.50,509.00,1,0.00,524.71,0,tripinfo_W_E_489,standard_car,0.94,
W_E_598,1677.00,W2TL_1,5.10,10.00,0.00,2079.00,TL2E_2,750.00,15.17,402.00,1528.50,285.00,1,0.00,302.20,0,tripinfo_W_E_598,standard_car,1.11,
E_W_431,1308.00,E2TL_2,5.10,10.00,1.00,2080.00,TL2W_2,750.00,11.31,772.00,1528.50,627.00,1,0.00,639.06,0,tripinfo_E_W_431,standard_car,0.83,
E_W_487,1433.00,E2TL_1,5.10,10.00,0.00,2080.00,TL2W_1,750.00,14.59,647.00,1528.50,520.00,1,0.00,543.07,0,tripinfo_E_W_487,standard_car,1.06,
